category,subcategory,keywords,confidence
INCOME,SALARY,salary|payroll|wages|monthly.*pay|hiyacar.*salary|ostt.*ostt|hiyacar.*limited.*f.*salary|limited.*f.*salary|salary.*payment|payment.*salary|monthly.*salary|weekly.*salary|monthly.*wages|weekly.*wages|ostt|ostt.*payment|hiyacar.*limited|hiyacar.*payment|f.*salary|limited.*salary|salary.*credit|credit.*salary|wages.*payment|payroll.*payment|monthly.*income|income.*monthly|monthly.*credit|employment.*payment|employment.*income|employer.*payment|company.*payment|payment.*employer|direct.*credit.*salary|salary.*credit|credit.*salary|wages.*payment|payroll.*payment|salary.*transfer|transfer.*salary|wage.*transfer|transfer.*wage|payroll.*transfer|transfer.*payroll|monthly.*transfer|transfer.*monthly|employment.*transfer|transfer.*employment|employer.*transfer|transfer.*employer|company.*transfer|transfer.*company,1.0
INCOME,SALARY,limited.*salary|ltd.*salary|salary.*payment|hiyacar|ostt|f.*salary,0.95
INCOME,SALARY,monthly.*income|income.*monthly|monthly.*credit|employment.*payment|employment.*income,0.9
INCOME,SALARY,employer.*payment|company.*payment|payment.*employer|ostt,0.85
INCOME,SALARY,direct.*credit.*salary|salary.*credit|credit.*salary|wages.*payment|payroll.*payment,0.8
HOUSING,RENT,rent,
HOUSING,RENT,mortgage,
HOUSING,RENT,board,
HOUSING,RENT,student accommodation,
HOUSING,RENT,landlord,
HOUSING,RENT,leasehold,
HOUSING,RENT,property,
HOUSING,RENT,tenancy,
HOUSING,RENT,room payment,
HOUSING,RENT,room rent,
HOUSING,RENT,ref: room,
HOUSING,RENT,ref: rent,
HOUSING,UTILITIES,Severn Trent Water,
HOUSING,UTILITIES,water,
HOUSING,UTILITIES,gas,
HOUSING,UTILITIES,electricity,
HOUSING,UTILITIES,mobile,
HOUSING,UTILITIES,phone,
HOUSING,UTILITIES,internet,
HOUSING,UTILITIES,tv licence,
HOUSING,UTILITIES,council tax,
HOUSING,UTILITIES,broadband,
HOUSING,UTILITIES,waste,
HOUSING,UTILITIES,sewerage,
HOUSING,UTILITIES,energy,
HOUSING,UTILITIES,utility bill,
HOUSING,UTILITIES,smart meter,
HOUSING,UTILITIES,bill payment,
HOUSING,UTILITIES,electricity bill,
HOUSING,UTILITIES,broadband payment,
HOUSING,UTILITIES,utility payment,
HOUSING,UTILITIES,ref: electricity,
HOUSING,UTILITIES,ref: broadband,
HOUSING,UTILITIES,ref: utilities,
HOUSING,UTILITIES,ref: council tax,
HOUSING,UTILITIES,o2,
HOUSING,UTILITIES,vodafone,
HOUSING,UTILITIES,ee,
HOUSING,UTILITIES,three,
HOUSING,UTILITIES,o2 mobile,
HOUSING,MAINTENANCE,repair,
HOUSING,MAINTENANCE,renovation,
HOUSING,MAINTENANCE,diy,
HOUSING,MAINTENANCE,home improvement,
HOUSING,MAINTENANCE,plumbing,
HOUSING,MAINTENANCE,electrical work,
HOUSING,MAINTENANCE,decoration,
HOUSING,MAINTENANCE,gardening,
HOUSING,MAINTENANCE,tools,
HOUSING,MAINTENANCE,maintenance,
HOUSING,MAINTENANCE,fix,
HOUSING,MAINTENANCE,repair service,
HOUSING,PROPERTY_TAX,stamp duty,
HOUSING,PROPERTY_TAX,property tax,
HOUSING,PROPERTY_TAX,land registry,
HOUSING,PROPERTY_TAX,valuation,
HOUSING,PROPERTY_TAX,property assessment,
HOUSING,PROPERTY_TAX,council charges,
TRANSFERS,BANK_TRANSFER,received from,
TRANSFERS,BANK_TRANSFER,transfer to sort code,
TRANSFERS,BANK_TRANSFER,transfer from sort code,
TRANSFERS,BANK_TRANSFER,ref: mobile-channel,
TRANSFERS,BANK_TRANSFER,ref: transfer,
TRANSFERS,BANK_TRANSFER,account transfer,
TRANSFERS,BANK_TRANSFER,bank transfer,
TRANSFERS,BANK_TRANSFER,money transfer,
TRANSFERS,BANK_TRANSFER,ref: monzo,
TRANSFERS,BANK_TRANSFER,ref: revolut,
TRANSFERS,BANK_TRANSFER,ref: wise,
TRANSFERS,BANK_TRANSFER,faster payments,
TRANSFERS,BANK_TRANSFER,chaps,
TRANSFERS,BANK_TRANSFER,bacs,
TRANSFERS,BANK_TRANSFER,transfer to sort code,
TRANSFERS,BANK_TRANSFER,ref: mobile-channel,
TRANSFERS,BANK_TRANSFER,transfer to sort code,
TRANSFERS,STANDING_ORDER,standing order,
TRANSFERS,STANDING_ORDER,regular payment,
TRANSFERS,STANDING_ORDER,direct to,
TRANSFERS,STANDING_ORDER,s/o ref,
TRANSFERS,DIRECT_DEBIT,direct debit,
TRANSFERS,DIRECT_DEBIT,dd ref,
TRANSFERS,DIRECT_DEBIT,d/d,
TRANSFERS,DIRECT_DEBIT,dd payment,
FOOD,GROCERIES,tesco,
FOOD,GROCERIES,asda,
FOOD,GROCERIES,sainsbury,
FOOD,GROCERIES,lidl,
FOOD,GROCERIES,aldi,
FOOD,GROCERIES,morrisons,
FOOD,GROCERIES,waitrose,
FOOD,GROCERIES,m&s food,
FOOD,GROCERIES,co-op,
FOOD,GROCERIES,iceland,
FOOD,GROCERIES,groceries,
FOOD,GROCERIES,supermarket,
FOOD,GROCERIES,farm shop,
FOOD,GROCERIES,organic,
FOOD,GROCERIES,health food,
FOOD,GROCERIES,food shopping,
FOOD,GROCERIES,grocery delivery,
FOOD,GROCERIES,ocado,
FOOD,TAKEAWAY,deliveroo,
FOOD,TAKEAWAY,uber eats,
FOOD,TAKEAWAY,just eat,
FOOD,TAKEAWAY,takeaway,
FOOD,TAKEAWAY,mcdonalds,
FOOD,TAKEAWAY,kfc,
FOOD,TAKEAWAY,pizza,
FOOD,TAKEAWAY,dominos,
FOOD,TAKEAWAY,restaurant delivery,
FOOD,TAKEAWAY,food delivery,
FOOD,TAKEAWAY,delivery fee,
FOOD,TAKEAWAY,five guys,
FOOD,TAKEAWAY,burger king,
FOOD,TAKEAWAY,subway,
FOOD,TAKEAWAY,greggs,
FOOD,TAKEAWAY,toogoodtog,
FOOD,TAKEAWAY,too good to go,
FOOD,ALCOHOL,wine,
FOOD,ALCOHOL,beer,
FOOD,ALCOHOL,spirits,
FOOD,ALCOHOL,pub,
FOOD,ALCOHOL,bar,
FOOD,ALCOHOL,liquor store,
FOOD,ALCOHOL,off licence,
FOOD,ALCOHOL,brewery,
FOOD,ALCOHOL,wetherspoons,
FOOD,ALCOHOL,revolution,
FOOD,ALCOHOL,slug and lettuce,
FOOD,DINING_OUT,restaurant,
FOOD,DINING_OUT,cafe,
FOOD,DINING_OUT,coffee shop,
FOOD,DINING_OUT,brunch,
FOOD,DINING_OUT,lunch,
FOOD,DINING_OUT,dinner,
FOOD,DINING_OUT,dining,
FOOD,DINING_OUT,eatery,
FOOD,DINING_OUT,starbucks,
FOOD,DINING_OUT,costa,
FOOD,DINING_OUT,pret,
FOOD,DINING_OUT,nero,
FOOD,DINING_OUT,wagamama,
FOOD,DINING_OUT,nandos,
FOOD,DINING_OUT,zizzi,
FOOD,DINING_OUT,pizza express,
FOOD,DINING_OUT,paddy & scotts,
FOOD,DINING_OUT,scotts ambitio,
FOOD,DINING_OUT,small square c,
FOOD,DINING_OUT,botanica cheltenham,
FOOD,DINING_OUT,wacka wago,
FOOD,DINING_OUT,little italy e,
FOOD,DINING_OUT,hamilton hall,
FOOD,DINING_OUT,itsu,
FOOD,DINING_OUT,island poke,
FOOD,DINING_OUT,poke london,
TRANSPORT,CAR,petrol,
TRANSPORT,CAR,fuel,
TRANSPORT,CAR,car maintenance,
TRANSPORT,CAR,car loan,
TRANSPORT,CAR,parking,
TRANSPORT,CAR,mot,
TRANSPORT,CAR,service,
TRANSPORT,CAR,car insurance,
TRANSPORT,CAR,breakdown cover,
TRANSPORT,CAR,road tax,
TRANSPORT,CAR,vehicle excise duty,
TRANSPORT,CAR,car wash,
TRANSPORT,CAR,tyres,
TRANSPORT,CAR,vehicle repair,
TRANSPORT,CAR,shell,
TRANSPORT,CAR,bp,
TRANSPORT,CAR,esso,
TRANSPORT,CAR,texaco,
TRANSPORT,CAR,dvla,
TRANSPORT,CAR,rv56myb,
TRANSPORT,CAR,j holmes car,
TRANSPORT,CAR,car payment,
TRANSPORT,CAR,car transfer,
TRANSPORT,PUBLIC,train,
TRANSPORT,PUBLIC,bus,
TRANSPORT,PUBLIC,taxi,
TRANSPORT,PUBLIC,uber,
TRANSPORT,PUBLIC,transport,
TRANSPORT,PUBLIC,national rail,
TRANSPORT,PUBLIC,london underground,
TRANSPORT,PUBLIC,tube,
TRANSPORT,PUBLIC,metro,
TRANSPORT,PUBLIC,tram,
TRANSPORT,PUBLIC,oyster card,
TRANSPORT,PUBLIC,travel card,
TRANSPORT,PUBLIC,trainline,
TRANSPORT,PUBLIC,gwr,
TRANSPORT,PUBLIC,southern railway,
TRANSPORT,PUBLIC,tfl,
TRANSPORT,PUBLIC,arriva,
TRANSPORT,PUBLIC,bolt.eu,
TRANSPORT,PUBLIC,bolt london,
TRANSPORT,TRAVEL,flight,
TRANSPORT,TRAVEL,hotel,
TRANSPORT,TRAVEL,airbnb,
TRANSPORT,TRAVEL,holiday,
TRANSPORT,TRAVEL,travel insurance,
TRANSPORT,TRAVEL,car hire,
TRANSPORT,TRAVEL,passport,
TRANSPORT,TRAVEL,visa,
TRANSPORT,TRAVEL,booking.com,
TRANSPORT,TRAVEL,expedia,
TRANSPORT,TRAVEL,easyjet,
TRANSPORT,TRAVEL,ryanair,
TRANSPORT,TRAVEL,british airways,
TRANSPORT,TRAVEL,virgin atlantic,
TRANSPORT,TRAVEL,hotels.com,
TRANSPORT,TRAVEL,lastminute,
TRANSPORT,TRAVEL,thorneloe m v travel,
TRANSPORT,TRAVEL,travel payment,
TRANSPORT,BICYCLE,bicycle purchase,
TRANSPORT,BICYCLE,bicycle repair,
TRANSPORT,BICYCLE,cycling gear,
TRANSPORT,BICYCLE,cycle insurance,
TRANSPORT,BICYCLE,bike maintenance,
TRANSPORT,BICYCLE,halfords,
TRANSPORT,BICYCLE,evans cycles,
ENTERTAINMENT,SUBSCRIPTIONS,lingoda,
ENTERTAINMENT,SUBSCRIPTIONS,netflix,
ENTERTAINMENT,SUBSCRIPTIONS,disney+,
ENTERTAINMENT,SUBSCRIPTIONS,spotify,
ENTERTAINMENT,SUBSCRIPTIONS,amazon prime,
ENTERTAINMENT,SUBSCRIPTIONS,apple tv,
ENTERTAINMENT,SUBSCRIPTIONS,now tv,
ENTERTAINMENT,SUBSCRIPTIONS,youtube premium,
ENTERTAINMENT,SUBSCRIPTIONS,streaming,
ENTERTAINMENT,SUBSCRIPTIONS,subscription,
ENTERTAINMENT,SUBSCRIPTIONS,monthly subscription,
ENTERTAINMENT,SUBSCRIPTIONS,audible,
ENTERTAINMENT,SUBSCRIPTIONS,xbox live,
ENTERTAINMENT,SUBSCRIPTIONS,playstation plus,
ENTERTAINMENT,SUBSCRIPTIONS,nintendo online,
ENTERTAINMENT,ACTIVITIES,cinema,
ENTERTAINMENT,ACTIVITIES,theatre,
ENTERTAINMENT,ACTIVITIES,concert,
ENTERTAINMENT,ACTIVITIES,festival,
ENTERTAINMENT,ACTIVITIES,comedy club,
ENTERTAINMENT,ACTIVITIES,sports event,
ENTERTAINMENT,ACTIVITIES,museum,
ENTERTAINMENT,ACTIVITIES,art gallery,
ENTERTAINMENT,ACTIVITIES,entertainment venue,
ENTERTAINMENT,ACTIVITIES,odeon,
ENTERTAINMENT,ACTIVITIES,vue,
ENTERTAINMENT,ACTIVITIES,cineworld,
ENTERTAINMENT,ACTIVITIES,ticketmaster,
ENTERTAINMENT,ACTIVITIES,o2 arena,
ENTERTAINMENT,ACTIVITIES,royal albert hall,
ENTERTAINMENT,HOBBIES,gaming,
ENTERTAINMENT,HOBBIES,books,
ENTERTAINMENT,HOBBIES,music,
ENTERTAINMENT,HOBBIES,craft supplies,
ENTERTAINMENT,HOBBIES,photography,
ENTERTAINMENT,HOBBIES,equipment,
ENTERTAINMENT,HOBBIES,hobby shop,
ENTERTAINMENT,HOBBIES,craft store,
ENTERTAINMENT,HOBBIES,waterstones,
ENTERTAINMENT,HOBBIES,game,
ENTERTAINMENT,HOBBIES,hmv,
ENTERTAINMENT,HOBBIES,hobby craft,
ENTERTAINMENT,HOBBIES,ryman,
ENTERTAINMENT,OUTDOOR_ACTIVITIES,camping,
ENTERTAINMENT,OUTDOOR_ACTIVITIES,bluehillscampi,
ENTERTAINMENT,OUTDOOR_ACTIVITIES,campsite,
ENTERTAINMENT,OUTDOOR_ACTIVITIES,outdoor equipment,
ENTERTAINMENT,OUTDOOR_ACTIVITIES,hiking,
ENTERTAINMENT,OUTDOOR_ACTIVITIES,climbing,
ENTERTAINMENT,OUTDOOR_ACTIVITIES,tent rental,
ENTERTAINMENT,OUTDOOR_ACTIVITIES,caravan,
SHOPPING,GENERAL,amazon,
SHOPPING,GENERAL,ebay,
SHOPPING,GENERAL,asos,
SHOPPING,GENERAL,next,
SHOPPING,GENERAL,h&m,
SHOPPING,GENERAL,zara,
SHOPPING,GENERAL,primark,
SHOPPING,GENERAL,tk maxx,
SHOPPING,GENERAL,john lewis,
SHOPPING,GENERAL,marks & spencer,
SHOPPING,GENERAL,argos,
SHOPPING,GENERAL,currys,
SHOPPING,GENERAL,apple store,
SHOPPING,GENERAL,samsung,
SHOPPING,GENERAL,ikea,
SHOPPING,GENERAL,ikea ltd,
SHOPPING,GENERAL,milton keynes ikea,
SHOPPING,ONLINE_MARKETPLACE,amazon marketplace,
SHOPPING,ONLINE_MARKETPLACE,ebay,
SHOPPING,ONLINE_MARKETPLACE,etsy,
SHOPPING,ONLINE_MARKETPLACE,not on the high street,
SHOPPING,ONLINE_MARKETPLACE,vinted,
SHOPPING,ONLINE_MARKETPLACE,depop,
SHOPPING,DEPARTMENT_STORES,john lewis,
SHOPPING,DEPARTMENT_STORES,debenhams,
SHOPPING,DEPARTMENT_STORES,house of fraser,
SHOPPING,DEPARTMENT_STORES,selfridges,
